user_type,purchase_frequency,avg_order_value,product_category,product_price,rating,discount_percentage,purchase
returning,9,108.3,Books,32.66,4.6,5,1
loyal,12,156.99,Electronics,339.29,4.4,0,1
returning,9,134.15,Clothing,231.38,4.1,50,1
returning,6,78.22,Books,6.98,4.5,10,1
new,2,49.57,Home & Kitchen,20.6,4.5,15,0
new,1,72.45,Books,26.21,1.9,20,0
new,3,20.55,Sports,348.24,3.2,0,0
loyal,13,136.36,Electronics,327.49,1.4,10,1
returning,8,50.51,Books,18.59,4.7,0,1
returning,8,88.95,Clothing,215.1,3.8,5,1
new,2,48.75,Clothing,105.92,1.1,10,0
loyal,12,230.06,Electronics,871.34,1.1,10,1
loyal,16,82.37,Electronics,555.18,1.0,0,1
new,1,47.38,Clothing,160.42,4.2,0,0
new,2,70.01,Clothing,140.82,1.5,10,0
new,2,65.69,Beauty,140.41,1.7,10,0
returning,7,49.95,Books,32.48,2.7,25,1
returning,7,147.69,Sports,324.67,4.7,15,1
returning,6,138.14,Home & Kitchen,299.33,4.2,10,1
new,3,28.02,Clothing,249.66,4.4,10,0
returning,6,99.01,Clothing,183.09,4.0,0,1
new,2,23.61,Clothing,163.31,1.3,10,0
new,1,20.28,Clothing,114.4,3.3,0,0
returning,5,121.03,Books,38.13,1.3,20,0
returning,5,117.94,Home & Kitchen,311.4,1.6,10,1
loyal,15,103.56,Clothing,49.47,3.1,25,1
new,2,63.46,Electronics,215.75,2.1,25,0
returning,7,40.51,Electronics,232.19,3.1,25,1
returning,5,58.68,Clothing,127.63,4.6,0,1
new,1,40.1,Electronics,1074.35,4.1,10,0
returning,5,121.51,Beauty,181.57,2.1,30,1
new,2,65.73,Electronics,475.81,1.6,0,0
new,2,56.37,Books,20.44,4.4,10,0
loyal,9,88.14,Clothing,26.41,1.6,15,1
loyal,9,248.87,Electronics,347.23,3.0,15,1
loyal,17,278.87,Beauty,77.29,1.4,10,1
returning,8,58.03,Home & Kitchen,467.65,4.3,10,1
new,1,51.33,Clothing,46.09,2.2,10,0
returning,4,90.81,Beauty,23.13,3.3,10,1
returning,3,81.2,Electronics,329.27,4.9,30,1
new,3,58.33,Clothing,244.08,1.6,0,0
returning,4,104.19,Beauty,112.25,3.2,15,0
new,3,59.26,Books,37.69,1.5,15,0
loyal,19,229.44,Clothing,140.35,2.8,5,1
new,3,68.31,Electronics,900.81,3.6,0,0
returning,5,51.53,Beauty,127.29,2.6,0,0
returning,8,96.96,Clothing,101.8,2.7,15,0
returning,7,127.77,Electronics,973.81,3.4,0,1
returning,9,110.18,Home & Kitchen,151.14,4.3,30,1
new,3,57.24,Sports,387.14,1.8,0,0
loyal,11,119.24,Electronics,1054.72,4.7,10,1
loyal,11,268.6,Beauty,110.47,4.9,0,1
loyal,10,230.99,Home & Kitchen,472.47,4.1,30,1
loyal,17,173.48,Clothing,40.39,4.4,20,1
returning,4,136.71,Books,14.65,3.9,15,1
loyal,10,136.28,Sports,323.91,3.9,5,1
new,3,59.93,Clothing,163.16,4.1,0,0
new,1,40.47,Electronics,862.46,1.3,15,0
new,1,45.81,Sports,186.3,4.4,25,0
returning,8,124.81,Books,27.22,1.9,10,0
returning,5,49.11,Clothing,251.55,3.1,15,1
new,2,38.54,Home & Kitchen,393.5,4.7,0,0
loyal,10,212.14,Books,19.16,2.7,0,1
returning,9,66.07,Beauty,84.09,3.4,10,1
new,2,66.64,Sports,284.02,3.6,25,0
returning,7,98.63,Clothing,149.52,4.9,0,1
new,2,51.07,Clothing,81.51,2.6,30,0
loyal,8,204.01,Home & Kitchen,252.32,1.8,10,1
new,2,20.4,Clothing,112.22,2.5,25,0
loyal,15,165.24,Home & Kitchen,166.14,2.9,5,1
loyal,12,107.12,Clothing,24.28,4.9,30,1
new,1,42.73,Electronics,830.61,4.6,10,0
new,2,67.26,Home & Kitchen,371.93,3.4,25,0
loyal,8,278.17,Books,19.21,1.4,0,1
returning,7,118.88,Beauty,195.67,3.1,5,0
returning,7,84.81,Home & Kitchen,492.12,4.8,50,1
loyal,11,238.92,Electronics,1131.83,2.6,0,1
new,1,50.46,Clothing,52.01,1.1,25,0
returning,6,91.25,Beauty,178.26,3.8,10,0
new,1,24.11,Clothing,109.05,3.6,20,0
loyal,9,213.42,Books,13.47,2.1,40,1
returning,7,46.3,Home & Kitchen,299.37,4.7,0,1
returning,5,147.6,Clothing,46.32,1.9,10,0
new,2,37.79,Beauty,82.13,4.9,10,0
returning,8,98.12,Electronics,347.15,4.0,50,1
returning,4,77.55,Home & Kitchen,275.95,4.7,0,1
